Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 37.77      2.07     2.07      150     0.01     0.02  relcol_
 15.33      2.91     0.84 13541874     0.00     0.00  isco1_
  8.76      3.39     0.48      151     0.00     0.00  dens_
  5.11      3.67     0.28  2957321     0.00     0.00  lorenz_
  4.56      3.92     0.25      150     0.00     0.00  hbtout_
  4.38      4.16     0.24  1545812     0.00     0.00  cms_
  2.92      4.32     0.16    23884     0.00     0.00  getict_
  2.74      4.47     0.15 13541874     0.00     0.00  isco_
  2.37      4.60     0.13 11637705     0.00     0.00  ud2_
  2.01      4.71     0.11  1545812     0.00     0.00  distc0_
  1.82      4.81     0.10   732929     0.00     0.00  locldr_
  1.82      4.91     0.10   720889     0.00     0.00  chkcel_
  1.28      4.98     0.07     4200     0.00     0.00  flowp_
  1.09      5.04     0.06 11674188     0.00     0.00  ck_
  0.91      5.09     0.05        1     0.05     3.23  artmn_
  0.91      5.14     0.05        1     0.05     0.43  coales_
  0.91      5.19     0.05        1     0.05     2.17  hijing_
  0.73      5.23     0.04    28083     0.00     0.00  chkin1_
  0.36      5.25     0.02    38296     0.00     0.00  wallc1_
  0.36      5.27     0.02    21266     0.00     0.00  g_
  0.36      5.29     0.02    21266     0.00     0.00  parton_
  0.36      5.31     0.02     7462     0.00     0.00  pysigh_
  0.18      5.32     0.01   127596     0.00     0.00  gmre_
  0.18      5.33     0.01   100537     0.00     0.00  chcell_
  0.18      5.34     0.01    42532     0.00     0.00  subcr3_
  0.18      5.35     0.01    23884     0.00     0.00  zpcrun_
  0.18      5.36     0.01    19683     0.00     0.00  newcre_
  0.18      5.37     0.01    17003     0.00     0.00  oldcre_
  0.18      5.38     0.01    16888     0.00     0.00  pystfu_
  0.18      5.39     0.01      669     0.00     0.00  xnpi_
  0.18      5.40     0.01      133     0.00     0.00  twopi_
  0.18      5.41     0.01       98     0.00     0.00  dirct3_
  0.18      5.42     0.01       97     0.00     0.00  pysspa_
  0.18      5.43     0.01        4     0.00     0.02  vegas1_
  0.18      5.44     0.01        1     0.01     0.01  arini2_
  0.18      5.45     0.01        1     0.01     0.01  ftime_
  0.18      5.46     0.01        1     0.01     0.01  hjana2_
  0.18      5.47     0.01        1     0.01     0.44  ptoh_
  0.18      5.48     0.01        1     0.01     0.01  zpca2a_
  0.00      5.48     0.00  1904169     0.00     0.00  mintm_
  0.00      5.48     0.00   176171     0.00     0.00  rlu_
  0.00      5.48     0.00   147757     0.00     0.00  dchcel_
  0.00      5.48     0.00   123686     0.00     0.00  ranart_
  0.00      5.48     0.00   101328     0.00     0.00  pygamm_
  0.00      5.48     0.00    85064     0.00     0.00  subcr1_
  0.00      5.48     0.00    57792     0.00     0.00  fnkick_
  0.00      5.48     0.00    50859     0.00     0.00  lucomp_
  0.00      5.48     0.00    50136     0.00     0.00  fnstrs_
  0.00      5.48     0.00    42532     0.00     0.00  subcr6_
  0.00      5.48     0.00    39000     0.00     0.00  bk_
  0.00      5.48     0.00    38296     0.00     0.00  fixtim_
  0.00      5.48     0.00    38296     0.00     0.00  wallc_
  0.00      5.48     0.00    34249     0.00     0.00  ulmass_
  0.00      5.48     0.00    28083     0.00     0.00  ulist1_
  0.00      5.48     0.00    26448     0.00     0.00  fnstrm_
  0.00      5.48     0.00    25728     0.00     0.00  fnstru_
  0.00      5.48     0.00    25540     0.00     0.00  romg_
  0.00      5.48     0.00    23883     0.00     0.00  traceparton_
  0.00      5.48     0.00    23883     0.00     0.00  ulist_
  0.00      5.48     0.00    23883     0.00     0.00  zpca1_
  0.00      5.48     0.00    21266     0.00     0.00  aran9_
  0.00      5.48     0.00    21266     0.00     0.00  fjet_
  0.00      5.48     0.00    21266     0.00     0.00  subcr2_
  0.00      5.48     0.00    21266     0.00     0.00  subcr4_
  0.00      5.48     0.00    21266     0.00     0.00  subcr5_
  0.00      5.48     0.00    21266     0.00     0.00  subcr7_
  0.00      5.48     0.00    17003     0.00     0.00  cellre_
