 BB =    6.07404375       PHI =    0.00000000    
 RANTOT :    1.20469022       GSTOT =    0.00000000    
 RANTOT :   0.345672697       GSTOT =    0.00000000    
 RANTOT :    1.16261137       GSTOT =    0.00000000    
 RANTOT :   0.509718955       GSTOT =    0.00000000    
 RANTOT :    1.41422272       GSTOT =    0.00000000    
 RANTOT :   0.877384186       GSTOT =    0.00000000    
 RANTOT :    7.41042197E-02   GSTOT =    0.00000000    
 RANTOT :   0.628687799       GSTOT =    0.00000000    
 RANTOT :   0.420884877       GSTOT =    0.00000000    
 RANTOT :   0.602335513       GSTOT =    0.00000000    
 RANTOT :    1.07219338       GSTOT =    0.00000000    
 RANTOT :   0.257190436       GSTOT =    0.00000000    
 RANTOT :    3.44468988E-02   GSTOT =    0.00000000    
 RANTOT :    1.43499506       GSTOT =    0.00000000    
 RANTOT :    1.32888436       GSTOT =   0.122331500    
 RANTOT :    1.50934148       GSTOT =    0.00000000    
 RANTOT :    1.01081682E-02   GSTOT =    0.00000000    
 RANTOT :   0.912726402       GSTOT =    0.00000000    
 RANTOT :    1.24534166       GSTOT =    4.86147404E-03
 RANTOT :   0.533734143       GSTOT =    0.00000000    
 RANTOT :   0.570436299       GSTOT =    0.00000000    
 RANTOT :   0.186054796       GSTOT =    5.67030907E-03
 RANTOT :    1.15900064       GSTOT =    5.52582741E-03
 RANTOT :   0.577884853       GSTOT =    0.00000000    
 RANTOT :   0.414076924       GSTOT =   0.269930840    
 RANTOT :    1.32244456       GSTOT =    0.00000000    
 RANTOT :    1.38582504       GSTOT =    0.00000000    
 RANTOT :    1.51323450       GSTOT =    7.04252720E-03
 RANTOT :    1.26532996       GSTOT =    0.00000000    
 RANTOT :   0.414503217       GSTOT =    0.00000000    
 RANTOT :    1.36093760       GSTOT =    0.00000000    
 RANTOT :    1.10512114       GSTOT =    0.00000000    
 RANTOT :   0.228263676       GSTOT =    0.00000000    
 RANTOT :    1.29513896       GSTOT =    8.89821053E-02
 RANTOT :    1.40575027       GSTOT =    0.00000000    
 RANTOT :   0.925721586       GSTOT =    0.00000000    
 RANTOT :    8.34514275E-02   GSTOT =    0.00000000    
 RANTOT :   0.545473993       GSTOT =    0.00000000    
