 IHNT2(5) =            0    IHNT2(6)           0
 IPP =         2212    ITT =            0
 IDQ =            0  IDQQ =            0
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2101
 IDQ =            2  IDQQ =         2101
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            2  IDQQ =         2103
 IDQ =            2  IDQQ =         2103
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
 IDQ =            1  IDQQ =         2203
